moeda,moeda_destino,valor_compra,valor_venda,maxima_dia,minima_dia,data_cotacao,arquivo_origem
USD,BRL,5.13153,5.14356,5.1643,5.0863,2026-07-28 21:26:22,cotacoes_20260729T003002Z.json
EUR,BRL,5.84454,5.85823,5.86167,5.78035,2026-07-28 21:26:22,cotacoes_20260729T003002Z.json
USD,BRL,5.1369,5.1399,5.1643,5.0863,2026-07-28 21:19:41,cotacoes_20260729T003325Z.json
EUR,BRL,5.84454,5.85823,5.86167,5.78035,2026-07-28 21:17:20,cotacoes_20260729T003325Z.json
USD,BRL,5.1369,5.1399,5.1643,5.0863,2026-07-28 21:19:41,cotacoes_20260729T003412Z.json
EUR,BRL,5.84454,5.85823,5.86167,5.78035,2026-07-28 21:17:20,cotacoes_20260729T003412Z.json
USD,BRL,5.1365,5.1395,5.1643,5.0863,2026-07-28 21:26:33,cotacoes_20260729T003552Z.json
EUR,BRL,5.84454,5.85823,5.86167,5.78035,2026-07-28 21:26:22,cotacoes_20260729T003552Z.json
USD,BRL,5.1277,5.1307,5.157,5.0947,2026-07-29 20:43:52,cotacoes_20260729T234728Z.json
EUR,BRL,5.87544,5.88928,5.88582,5.81058,2026-07-29 20:41:45,cotacoes_20260729T234728Z.json
USD,BRL,5.1276,5.1306,5.157,5.0947,2026-07-29 21:59:36,cotacoes_20260730T010331Z.json
EUR,BRL,5.87199,5.88582,5.88582,5.81058,2026-07-29 21:59:33,cotacoes_20260730T010331Z.json
